Text 1,Text 2,Cosine Similarity
Scientists discovered new evidence about the formation of distant galaxies.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.1898
Machine learning allows computers to learn patterns from data.,Digital communication has changed the way people interact with each other.,0.1891
Athletes require regular training to improve their performance.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.1874
Cybersecurity protects computer systems from unauthorized access.,Social media platforms allow people to communicate and share information.,0.1853
The government announced new measures to improve public education.,Social media platforms allow people to communicate and share information.,0.1839
Electric vehicles are becoming more popular because they produce fewer emissions.,Digital communication has changed the way people interact with each other.,0.1819
Machine learning allows computers to learn patterns from data.,Strong passwords can help users protect their online accounts.,0.1766
Space telescopes help astronomers study objects in the universe.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.1746
Researchers are developing new technologies for renewable energy.,Scientists discovered new evidence about the formation of distant galaxies.,0.1711
Rising temperatures are affecting ecosystems around the world.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.1702
Artificial intelligence is transforming many industries around the world.,Rising temperatures are affecting ecosystems around the world.,0.1685
Machine learning allows computers to learn patterns from data.,Scientists discovered new evidence about the formation of distant galaxies.,0.1663
Strong passwords can help users protect their online accounts.,Digital communication has changed the way people interact with each other.,0.1593
Researchers are developing new technologies for renewable energy.,Rising temperatures are affecting ecosystems around the world.,0.1545
Artificial intelligence is transforming many industries around the world.,Social media platforms allow people to communicate and share information.,0.1496
Athletes require regular training to improve their performance.,Strong passwords can help users protect their online accounts.,0.1481
Artificial intelligence is transforming many industries around the world.,Cybersecurity protects computer systems from unauthorized access.,0.144
The government announced new measures to improve public education.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.1367
Researchers are developing new technologies for renewable energy.,The government announced new measures to improve public education.,0.1354
Machine learning allows computers to learn patterns from data.,Solar power is becoming an important source of clean electricity.,0.134
Artificial intelligence is transforming many industries around the world.,The government announced new measures to improve public education.,0.1313
Solar power is becoming an important source of clean electricity.,Strong passwords can help users protect their online accounts.,0.1257
Researchers are developing new technologies for renewable energy.,Digital communication has changed the way people interact with each other.,0.1228
Researchers are developing new technologies for renewable energy.,Strong passwords can help users protect their online accounts.,0.122
Solar power is becoming an important source of clean electricity.,Cybersecurity protects computer systems from unauthorized access.,0.1213
Battery technology is important for the future of electric transportation.,Cybersecurity protects computer systems from unauthorized access.,0.1211
Doctors are using artificial intelligence to assist with medical diagnosis.,Cybersecurity protects computer systems from unauthorized access.,0.1204
The government announced new measures to improve public education.,Space telescopes help astronomers study objects in the universe.,0.1196
Doctors are using artificial intelligence to assist with medical diagnosis.,Social media platforms allow people to communicate and share information.,0.1195
Solar power is becoming an important source of clean electricity.,Rising temperatures are affecting ecosystems around the world.,0.1181
Online learning provides students with access to educational resources.,Space telescopes help astronomers study objects in the universe.,0.1145
Online learning provides students with access to educational resources.,Athletes require regular training to improve their performance.,0.112
Cybersecurity protects computer systems from unauthorized access.,Digital communication has changed the way people interact with each other.,0.111
Machine learning allows computers to learn patterns from data.,Researchers are developing new technologies for renewable energy.,0.1106
Scientists discovered new evidence about the formation of distant galaxies.,The football team won the championship after a close final match.,0.1084
Electric vehicles are becoming more popular because they produce fewer emissions.,Social media platforms allow people to communicate and share information.,0.1074
Solar power is becoming an important source of clean electricity.,Space telescopes help astronomers study objects in the universe.,0.1066
The government announced new measures to improve public education.,Climate change is causing significant changes in global weather patterns.,0.1044
Battery technology is important for the future of electric transportation.,Digital communication has changed the way people interact with each other.,0.1028
Researchers are developing new technologies for renewable energy.,Online learning provides students with access to educational resources.,0.1024
Scientists discovered new evidence about the formation of distant galaxies.,Climate change is causing significant changes in global weather patterns.,0.1021
Battery technology is important for the future of electric transportation.,Strong passwords can help users protect their online accounts.,0.102
Online learning provides students with access to educational resources.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.1009
Machine learning allows computers to learn patterns from data.,The football team won the championship after a close final match.,0.0982
Modern hospitals use digital systems to manage patient information.,Battery technology is important for the future of electric transportation.,0.0963
Space telescopes help astronomers study objects in the universe.,Modern hospitals use digital systems to manage patient information.,0.0958
Space telescopes help astronomers study objects in the universe.,Climate change is causing significant changes in global weather patterns.,0.0943
Artificial intelligence is transforming many industries around the world.,Athletes require regular training to improve their performance.,0.0936
The football team won the championship after a close final match.,Athletes require regular training to improve their performance.,0.0876
Athletes require regular training to improve their performance.,Battery technology is important for the future of electric transportation.,0.0876
The government announced new measures to improve public education.,Battery technology is important for the future of electric transportation.,0.0868
Machine learning allows computers to learn patterns from data.,Battery technology is important for the future of electric transportation.,0.0856
Athletes require regular training to improve their performance.,Modern hospitals use digital systems to manage patient information.,0.0855
Doctors are using artificial intelligence to assist with medical diagnosis.,Digital communication has changed the way people interact with each other.,0.0831
Battery technology is important for the future of electric transportation.,Social media platforms allow people to communicate and share information.,0.0814
The football team won the championship after a close final match.,Cybersecurity protects computer systems from unauthorized access.,0.0807
Space telescopes help astronomers study objects in the universe.,Rising temperatures are affecting ecosystems around the world.,0.0796
The football team won the championship after a close final match.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.0794
The football team won the championship after a close final match.,Modern hospitals use digital systems to manage patient information.,0.0791
Artificial intelligence is transforming many industries around the world.,Online learning provides students with access to educational resources.,0.078
Artificial intelligence is transforming many industries around the world.,Scientists discovered new evidence about the formation of distant galaxies.,0.0777
The government announced new measures to improve public education.,Modern hospitals use digital systems to manage patient information.,0.0767
Researchers are developing new technologies for renewable energy.,Space telescopes help astronomers study objects in the universe.,0.0748
Scientists discovered new evidence about the formation of distant galaxies.,Digital communication has changed the way people interact with each other.,0.0746
Space telescopes help astronomers study objects in the universe.,Social media platforms allow people to communicate and share information.,0.0739
Solar power is becoming an important source of clean electricity.,Social media platforms allow people to communicate and share information.,0.0734
Researchers are developing new technologies for renewable energy.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.0714
Machine learning allows computers to learn patterns from data.,Rising temperatures are affecting ecosystems around the world.,0.0686
Doctors are using artificial intelligence to assist with medical diagnosis.,Strong passwords can help users protect their online accounts.,0.0668
The government announced new measures to improve public education.,Rising temperatures are affecting ecosystems around the world.,0.066
Solar power is becoming an important source of clean electricity.,Scientists discovered new evidence about the formation of distant galaxies.,0.0655
Machine learning allows computers to learn patterns from data.,The government announced new measures to improve public education.,0.0654
Athletes require regular training to improve their performance.,Climate change is causing significant changes in global weather patterns.,0.065
Climate change is causing significant changes in global weather patterns.,Battery technology is important for the future of electric transportation.,0.0643
Researchers are developing new technologies for renewable energy.,Athletes require regular training to improve their performance.,0.0639
The government announced new measures to improve public education.,Scientists discovered new evidence about the formation of distant galaxies.,0.0633
Solar power is becoming an important source of clean electricity.,Athletes require regular training to improve their performance.,0.0615
Scientists discovered new evidence about the formation of distant galaxies.,Rising temperatures are affecting ecosystems around the world.,0.0599
Researchers are developing new technologies for renewable energy.,Modern hospitals use digital systems to manage patient information.,0.0578
The government announced new measures to improve public education.,Strong passwords can help users protect their online accounts.,0.0577
Athletes require regular training to improve their performance.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.0574
Climate change is causing significant changes in global weather patterns.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.0568
Climate change is causing significant changes in global weather patterns.,Social media platforms allow people to communicate and share information.,0.0546
Online learning provides students with access to educational resources.,The football team won the championship after a close final match.,0.0545
Rising temperatures are affecting ecosystems around the world.,Digital communication has changed the way people interact with each other.,0.054
Solar power is becoming an important source of clean electricity.,Digital communication has changed the way people interact with each other.,0.053
Machine learning allows computers to learn patterns from data.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.0529
Scientists discovered new evidence about the formation of distant galaxies.,Modern hospitals use digital systems to manage patient information.,0.052
The government announced new measures to improve public education.,Doctors are using artificial intelligence to assist with medical diagnosis.,0.0514
Scientists discovered new evidence about the formation of distant galaxies.,Electric vehicles are becoming more popular because they produce fewer emissions.,0.0504
Climate change is causing significant changes in global weather patterns.,Modern hospitals use digital systems to manage patient information.,0.0492
Artificial intelligence is transforming many industries around the world.,Space telescopes help astronomers study objects in the universe.,0.0473
Electric vehicles are becoming more popular because they produce fewer emissions.,Strong passwords can help users protect their online accounts.,0.043
Rising temperatures are affecting ecosystems around the world.,Social media platforms allow people to communicate and share information.,0.042
The football team won the championship after a close final match.,Social media platforms allow people to communicate and share information.,0.0414
Athletes require regular training to improve their performance.,Social media platforms allow people to communicate and share information.,0.0409
Solar power is becoming an important source of clean electricity.,Online learning provides students with access to educational resources.,0.0384
Artificial intelligence is transforming many industries around the world.,Strong passwords can help users protect their online accounts.,0.0373
Space telescopes help astronomers study objects in the universe.,The football team won the championship after a close final match.,0.034
Athletes require regular training to improve their performance.,Cybersecurity protects computer systems from unauthorized access.,0.0295
Online learning provides students with access to educational resources.,Scientists discovered new evidence about the formation of distant galaxies.,0.0268
Scientists discovered new evidence about the formation of distant galaxies.,Social media platforms allow people to communicate and share information.,0.0241
Space telescopes help astronomers study objects in the universe.,Athletes require regular training to improve their performance.,0.0174
Online learning provides students with access to educational resources.,Battery technology is important for the future of electric transportation.,0.0173
Researchers are developing new technologies for renewable energy.,Cybersecurity protects computer systems from unauthorized access.,0.0171
Athletes require regular training to improve their performance.,Digital communication has changed the way people interact with each other.,0.0165
Doctors are using artificial intelligence to assist with medical diagnosis.,Battery technology is important for the future of electric transportation.,0.0154
Climate change is causing significant changes in global weather patterns.,Strong passwords can help users protect their online accounts.,0.0142
Space telescopes help astronomers study objects in the universe.,Cybersecurity protects computer systems from unauthorized access.,0.0119
Athletes require regular training to improve their performance.,Rising temperatures are affecting ecosystems around the world.,0.008
Space telescopes help astronomers study objects in the universe.,Strong passwords can help users protect their online accounts.,0.0058
Space telescopes help astronomers study objects in the universe.,Battery technology is important for the future of electric transportation.,0.0041
Space telescopes help astronomers study objects in the universe.,Digital communication has changed the way people interact with each other.,0.0024
Rising temperatures are affecting ecosystems around the world.,Doctors are using artificial intelligence to assist with medical diagnosis.,-0.0013
Solar power is becoming an important source of clean electricity.,Modern hospitals use digital systems to manage patient information.,-0.0058
Rising temperatures are affecting ecosystems around the world.,Modern hospitals use digital systems to manage patient information.,-0.0064
Online learning provides students with access to educational resources.,Rising temperatures are affecting ecosystems around the world.,-0.0068
Scientists discovered new evidence about the formation of distant galaxies.,Cybersecurity protects computer systems from unauthorized access.,-0.0082
Artificial intelligence is transforming many industries around the world.,The football team won the championship after a close final match.,-0.009
Electric vehicles are becoming more popular because they produce fewer emissions.,Cybersecurity protects computer systems from unauthorized access.,-0.0093
The football team won the championship after a close final match.,Digital communication has changed the way people interact with each other.,-0.0097
Online learning provides students with access to educational resources.,Electric vehicles are becoming more popular because they produce fewer emissions.,-0.0105
Modern hospitals use digital systems to manage patient information.,Electric vehicles are becoming more popular because they produce fewer emissions.,-0.0112
The government announced new measures to improve public education.,Cybersecurity protects computer systems from unauthorized access.,-0.0186
Scientists discovered new evidence about the formation of distant galaxies.,Battery technology is important for the future of electric transportation.,-0.0189
The football team won the championship after a close final match.,Electric vehicles are becoming more popular because they produce fewer emissions.,-0.0267
Rising temperatures are affecting ecosystems around the world.,Battery technology is important for the future of electric transportation.,-0.0289
Online learning provides students with access to educational resources.,Climate change is causing significant changes in global weather patterns.,-0.0302
Rising temperatures are affecting ecosystems around the world.,Strong passwords can help users protect their online accounts.,-0.0303
Solar power is becoming an important source of clean electricity.,Doctors are using artificial intelligence to assist with medical diagnosis.,-0.0327
Doctors are using artificial intelligence to assist with medical diagnosis.,Electric vehicles are becoming more popular because they produce fewer emissions.,-0.0364
Space telescopes help astronomers study objects in the universe.,Electric vehicles are becoming more popular because they produce fewer emissions.,-0.039
Scientists discovered new evidence about the formation of distant galaxies.,Strong passwords can help users protect their online accounts.,-0.0429
The football team won the championship after a close final match.,Strong passwords can help users protect their online accounts.,-0.0463
The football team won the championship after a close final match.,Rising temperatures are affecting ecosystems around the world.,-0.0484
Climate change is causing significant changes in global weather patterns.,Cybersecurity protects computer systems from unauthorized access.,-0.055
Rising temperatures are affecting ecosystems around the world.,Cybersecurity protects computer systems from unauthorized access.,-0.0552
Scientists discovered new evidence about the formation of distant galaxies.,Athletes require regular training to improve their performance.,-0.0601
The government announced new measures to improve public education.,The football team won the championship after a close final match.,-0.0604
Solar power is becoming an important source of clean electricity.,The football team won the championship after a close final match.,-0.0662
The football team won the championship after a close final match.,Battery technology is important for the future of electric transportation.,-0.0695
The football team won the championship after a close final match.,Climate change is causing significant changes in global weather patterns.,-0.1034
Researchers are developing new technologies for renewable energy.,The football team won the championship after a close final match.,-0.1179
